import_price,export_price
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.06
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.32,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.22,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08
0.15,0.08